hypothesis_id,exact_preregistered_wording,primary_estimand,primary_model,expected_direction,observed_estimate,confidence_or_credible_interval,multiplicity_rule,smallest_effect_size_of_substantive_interest,sample_size,denominator,agency_and_period,robustness_threshold,support_status,analysis_commit,data_hash,preregistration_hash,verification_timestamp
H0,Recorded suspect sex is not associated with an enforcement decision among incidents with comparable pre-decision evidence and circumstances.,pending restricted/case-level data,not run for confirmatory inference,two-sided unless preregistered otherwise,,,pending,pending,,not available,not established for confirmatory model,pending,unresolved_required_data_unavailable,not available in non-git research workspace,,4cd0ab806332360a3fde285c63a1493540a862398c5bff0a9bc7c6332b6f47c5,2026-06-24T06:24:17.497499+00:00
H1,The share of male suspects changes materially at one or more funnel transitions.,pending restricted/case-level data,not run for confirmatory inference,two-sided unless preregistered otherwise,,,pending,pending,,not available,not established for confirmatory model,pending,unresolved_required_data_unavailable,not available in non-git research workspace,,4cd0ab806332360a3fde285c63a1493540a862398c5bff0a9bc7c6332b6f47c5,2026-06-24T06:24:17.497680+00:00
H2,Male suspects have a different adjusted probability of arrest or sole-aggressor designation after conditioning only on facts available before the police decision.,pending restricted/case-level data,not run for confirmatory inference,two-sided unless preregistered otherwise,,,pending,pending,,not available,not established for confirmatory model,pending,unresolved_required_data_unavailable,not available in non-git research workspace,,4cd0ab806332360a3fde285c63a1493540a862398c5bff0a9bc7c6332b6f47c5,2026-06-24T06:24:17.497683+00:00
H3,"In opposing-complaint or bidirectional incidents, the within-incident probability of being the sole arrested party differs by recorded sex.",pending restricted/case-level data,not run for confirmatory inference,two-sided unless preregistered otherwise,,,pending,pending,,not available,not established for confirmatory model,pending,unresolved_required_data_unavailable,not available in non-git research workspace,,4cd0ab806332360a3fde285c63a1493540a862398c5bff0a9bc7c6332b6f47c5,2026-06-24T06:24:17.497684+00:00
H4,Investigation-completeness items differ by suspect or alleged-victim sex after accounting for feasibility and relevance.,pending restricted/case-level data,not run for confirmatory inference,two-sided unless preregistered otherwise,,,pending,pending,,not available,not established for confirmatory model,pending,unresolved_required_data_unavailable,not available in non-git research workspace,,4cd0ab806332360a3fde285c63a1493540a862398c5bff0a9bc7c6332b6f47c5,2026-06-24T06:24:17.497686+00:00
H5,"Independently coded civil-only incidents involving male potential suspects have a different probability of criminal classification, DV designation, arrest, or referral.",pending restricted/case-level data,not run for confirmatory inference,two-sided unless preregistered otherwise,,,pending,pending,,not available,not established for confirmatory model,pending,unresolved_required_data_unavailable,not available in non-git research workspace,,4cd0ab806332360a3fde285c63a1493540a862398c5bff0a9bc7c6332b6f47c5,2026-06-24T06:24:17.497687+00:00
H6,Independently coded probable-cause incidents involving female potential suspects have a different probability of report-only or civil disposition.,pending restricted/case-level data,not run for confirmatory inference,two-sided unless preregistered otherwise,,,pending,pending,,not available,not established for confirmatory model,pending,unresolved_required_data_unavailable,not available in non-git research workspace,,4cd0ab806332360a3fde285c63a1493540a862398c5bff0a9bc7c6332b6f47c5,2026-06-24T06:24:17.497689+00:00
H7,"DA filing, count retention, dismissal, plea, conviction, and sentence differ by recorded defendant sex after stage-appropriate adjustment.",pending restricted/case-level data,not run for confirmatory inference,two-sided unless preregistered otherwise,,,pending,pending,,not available,not established for confirmatory model,pending,unresolved_required_data_unavailable,not available in non-git research workspace,,4cd0ab806332360a3fde285c63a1493540a862398c5bff0a9bc7c6332b6f47c5,2026-06-24T06:24:17.497691+00:00
H8,Agency-specific adjusted disparities differ across Boulder County agencies.,pending restricted/case-level data,not run for confirmatory inference,two-sided unless preregistered otherwise,,,pending,pending,,not available,not established for confirmatory model,pending,unresolved_required_data_unavailable,not available in non-git research workspace,,4cd0ab806332360a3fde285c63a1493540a862398c5bff0a9bc7c6332b6f47c5,2026-06-24T06:24:17.497692+00:00
H9,Boulder County estimates differ from matched Colorado agencies after case-mix and data-completeness adjustment.,pending restricted/case-level data,not run for confirmatory inference,two-sided unless preregistered otherwise,,,pending,pending,,not available,not established for confirmatory model,pending,unresolved_required_data_unavailable,not available in non-git research workspace,,4cd0ab806332360a3fde285c63a1493540a862398c5bff0a9bc7c6332b6f47c5,2026-06-24T06:24:17.497694+00:00
H10,"Reporting party, caller, scene-presence, and police-contact selection differ across sex and dyad categories, making arrest-only comparisons materially biased.",pending restricted/case-level data,not run for confirmatory inference,two-sided unless preregistered otherwise,,,pending,pending,,not available,not established for confirmatory model,pending,unresolved_required_data_unavailable,not available in non-git research workspace,,4cd0ab806332360a3fde285c63a1493540a862398c5bff0a9bc7c6332b6f47c5,2026-06-24T06:24:17.497695+00:00
H11,Verified policy or training changes alter investigation completeness or enforcement patterns.,pending restricted/case-level data,not run for confirmatory inference,two-sided unless preregistered otherwise,,,pending,pending,,not available,not established for confirmatory model,pending,unresolved_required_data_unavailable,not available in non-git research workspace,,4cd0ab806332360a3fde285c63a1493540a862398c5bff0a9bc7c6332b6f47c5,2026-06-24T06:24:17.497696+00:00
H12,"Officer, supervisor, prosecutor, agency, and year effects account for meaningful heterogeneity.",pending restricted/case-level data,not run for confirmatory inference,two-sided unless preregistered otherwise,,,pending,pending,,not available,not established for confirmatory model,pending,unresolved_required_data_unavailable,not available in non-git research workspace,,4cd0ab806332360a3fde285c63a1493540a862398c5bff0a9bc7c6332b6f47c5,2026-06-24T06:24:17.497697+00:00
H13,"Results differ across race or ethnicity, age, disability or mental-health indicators, housing status, language access, and LGBTQ status where fields are reliable, lawful, and sufficiently powered.",pending restricted/case-level data,not run for confirmatory inference,two-sided unless preregistered otherwise,,,pending,pending,,not available,not established for confirmatory model,pending,unresolved_required_data_unavailable,not available in non-git research workspace,,4cd0ab806332360a3fde285c63a1493540a862398c5bff0a9bc7c6332b6f47c5,2026-06-24T06:24:17.497699+00:00
