hypothesis_id,support_status,analysis_ready,minimum_unit,required_denominator,missing_fields,request_targets,request_files,current_answer
H0,unresolved_required_data_unavailable,no,event-party,"all qualifying domestic-related event-parties, including no-arrest and no-report-only events","party sex/gender, suspect/victim/caller roles, pre-decision evidence, relationship, injury, weapons, scene presence, probable-cause facts, outcome by party","Boulder PD, BCSO, Longmont, Lafayette, Louisville, Erie, CUPD, Boulder County Communications",records_requests/boulder_police_department.md; records_requests/boulder_county_sheriff_office.md; records_requests/longmont_public_safety.md; records_requests/lafayette_police.md; records_requests/louisville_police.md; records_requests/erie_police.md; records_requests/cu_boulder_police.md; records_requests/boulder_county_communications.md,unresolved for confirmatory inference
H1,unresolved_required_data_unavailable,partial_descriptive_only,linked person-stage records,stage-specific linked counts from call/event-party through court disposition,"stable person/case join keys, arrest/referral/filing/count/disposition/sentence by recorded sex","all law-enforcement agencies, Twentieth Judicial District Attorney, Colorado Judicial Branch, municipal courts",records_requests/twentieth_judicial_da.md; records_requests/colorado_judicial_branch.md; records_requests/other_municipal_courts.md,"public data support only descriptive male-majority context, not funnel-transition testing"
H2,unresolved_required_data_unavailable,no,event-party,all qualifying event-parties with pre-decision facts,"party sex/gender, probable cause, injury, conduct, self-defense, opposing complaints, prior calls, protection orders, witnesses, officer decision",law-enforcement CAD/RMS custodians,records_requests/boulder_police_department.md; records_requests/boulder_county_sheriff_office.md; records_requests/longmont_public_safety.md; records_requests/lafayette_police.md; records_requests/louisville_police.md; records_requests/erie_police.md; records_requests/cu_boulder_police.md,unresolved for confirmatory inference
H3,unresolved_required_data_unavailable,no,party nested within incident,incidents with opposing complaints or independently codable bidirectional conduct,"opposing complaints, party-specific allegations/evidence, statutory predominant-aggressor factors, arrest outcome by party",law-enforcement CAD/RMS plus narratives/evidence sample,records_requests/boulder_police_department.md; records_requests/boulder_county_sheriff_office.md; records_requests/longmont_public_safety.md; records_requests/lafayette_police.md; records_requests/louisville_police.md; records_requests/erie_police.md; records_requests/cu_boulder_police.md,unresolved for confirmatory inference
H4,unresolved_required_data_unavailable,partial_process_context_only,investigative action item within event,all relevant and feasible investigative-action opportunities in sampled records,"separate interviews, photos, 911/bodycam review, protection-order checks, self-defense review, witnesses, feasibility, recorded sex/gender",law-enforcement agencies; 46-case audit crosswalk custodians,records_requests/audit_46_cases/boulder_police_46_case_audit_crosswalk.md; records_requests/audit_46_cases/twentieth_da_46_case_audit_crosswalk.md,unresolved for sex-specific confirmatory inference
H5,unresolved_required_data_unavailable,no,event-party,independently coded civil-only event-parties,"narratives/evidence, legal-panel civil-only classification, sex/gender, criminal/DV classification, arrest/referral",law-enforcement agencies and legal-review sample records,records_requests/boulder_police_department.md; records_requests/boulder_county_sheriff_office.md; records_requests/longmont_public_safety.md; records_requests/lafayette_police.md; records_requests/louisville_police.md; records_requests/erie_police.md; records_requests/cu_boulder_police.md,unresolved for confirmatory inference
H6,unresolved_required_data_unavailable,no,event-party,independently coded probable-cause event-parties,"narratives/evidence, legal-panel probable-cause classification, sex/gender, report-only/civil/no-enforcement outcomes",law-enforcement agencies and legal-review sample records,records_requests/boulder_police_department.md; records_requests/boulder_county_sheriff_office.md; records_requests/longmont_public_safety.md; records_requests/lafayette_police.md; records_requests/louisville_police.md; records_requests/erie_police.md; records_requests/cu_boulder_police.md,unresolved for confirmatory inference
H7,unresolved_required_data_unavailable,no,case-defendant and charge count,all referred/filed/resolved DV-related counts with sex/gender and stage outcomes,"Action extract, count-level original/amended/final charges, no-file/dismissal reasons, pleas, convictions, sentences, treatment","Twentieth Judicial District Attorney, Colorado Judicial Branch, municipal courts",records_requests/twentieth_judicial_da.md; records_requests/colorado_judicial_branch.md; records_requests/boulder_municipal_court.md; records_requests/other_municipal_courts.md,unresolved for confirmatory inference
H8,unresolved_required_data_unavailable,no,event-party with agency identifier,agency-specific comparable event-party cohorts,"agency-specific CAD/RMS schemas, sex/gender, pre-decision facts, outcomes",all Boulder County law-enforcement agencies,records_requests/boulder_police_department.md; records_requests/boulder_county_sheriff_office.md; records_requests/longmont_public_safety.md; records_requests/lafayette_police.md; records_requests/louisville_police.md; records_requests/erie_police.md; records_requests/cu_boulder_police.md,unresolved for confirmatory inference
H9,unresolved_required_data_unavailable,aggregate_context_only,event-party by agency,matched Colorado agency incident-level cohorts with comparable fields,comparison-agency case-level fields and data-completeness metrics,CBI and empirically selected comparison agencies after matching frame is finalized,records_requests/colorado_bureau_of_investigation.md,unresolved for confirmatory inference
